         *    33.000         *         *    43.000         *         *    29.379     4.091     4.116     0.803
    17.000         *         *    42.000    48.000         *         *    26.371     3.548     4.690     0.776
    41.000    53.000         *    53.000         *    57.000         *    41.111     3.184     4.035     0.740
    38.000         *         *         *    39.000         *    29.000    28.052     3.770     2.613     0.706
         *         *         *         *    50.000         *         *    33.759     5.279     4.274     0.815
    44.000         *    58.000         *         *         *         *    44.016     3.825     4.515     0.837
    20.000         *         *    29.000         *         *         *    22.126     3.891     4.055     0.814
         *    27.000         *         *    42.000         *    49.000    26.113     3.926     4.076     0.732
         *    57.000         *    48.000         *         *         *    42.286     3.992     4.129     0.828
    24.000         *         *         *    42.000         *         *    26.917     3.969     4.218     0.785
         *    33.000         *         *    47.000         *         *    30.656     4.091     4.258     0.803
         *    38.000         *         *    47.000         *    51.000    31.781     3.926     3.880     0.732
         *    48.000         *         *    50.000         *    80.000    40.585     3.926     4.835     0.732
         *         *    43.000         *    49.000         *         *    33.721     4.236     4.240     0.813
         *         *         *    50.000         *         *         *    36.300     5.100     4.372     0.833
         *    44.000         *    45.000         *         *         *    35.922     3.992     4.202     0.828
    37.000         *         *         *    64.000         *         *    39.716     3.969     4.753     0.785
    42.000         *    58.000         *         *         *    60.000    41.519     3.583     3.997     0.715
         *    48.000         *    64.000         *         *         *    44.171     3.992     4.653     0.828
         *    51.000         *         *    64.000    65.000         *    43.490     3.855     4.489     0.761
         *    36.000    51.000         *         *         *    72.000    37.770     3.705     4.912     0.735
         *    40.000         *         *    50.000         *         *    34.597     4.091     4.239     0.803
         *         *    68.000         *    65.000         *         *    49.038     4.236     4.527     0.813
    29.000    42.000         *    62.000         *    57.000         *    36.708     3.184     4.701     0.740
    13.000         *    52.000         *    58.000         *         *    31.240     3.464     5.236     0.784
         *    41.000         *    61.000         *    61.000         *    39.809     3.752     4.555     0.770
    31.000         *    37.000         *         *         *         *    30.963     3.825     4.252     0.837
         *    36.000         *    52.000         *    61.000         *    35.713     3.752     4.619     0.770
         *    36.000         *         *    50.000         *    55.000    32.336     3.926     4.151     0.732
         *    51.000         *    59.000         *         *         *    43.659     3.992     4.487     0.828
         *    41.000         *         *    65.000         *    81.000    41.686     3.926     5.291     0.732
         *    56.000         *         *    70.000         *         *    47.802     4.091     4.662     0.803
    39.000         *         *    52.000    69.000         *         *    40.994     3.548     4.819     0.776
         *         *    49.000         *    47.000         *         *    35.527     4.236     4.138     0.813
         *    45.000         *    66.000         *    62.000         *    42.686     3.752     4.528     0.770
    38.000         *    42.000         *         *         *         *    35.648     3.825     4.251     0.837
         *         *    46.000    47.000         *    63.000         *    36.641     3.896     4.528     0.786
         *    31.000         *    46.000         *         *    64.000    31.939     3.818     4.700     0.737
         *    49.000         *    55.000         *         *         *    41.448     3.992     4.406     0.828
         *    43.000         *         *    61.000         *         *    39.387     4.091     4.576     0.803
    33.000         *         *    56.000         *    67.000         *    38.279     3.618     4.924     0.747
    24.000         *    63.000         *         *         *         *    37.797     3.825     4.951     0.837
         *    48.000         *         *    66.000         *         *    43.115     4.091     4.664     0.803
         *    61.000         *    70.000         *         *         *    51.580     3.992     4.659     0.828
